key,job_role,job_title,company_name,skills,job_type,location,experience
1,data engineer,principle data engineer,synechron technologies private limited,"big data,hadoop",full time,"chennai,hyderabad",17
2,data engineer,data engineer - oacs,ltimindtree limited,"oacs,oac,oas,obiee",full time,mumbai,5
3,data engineer,data engineer,synechron technologies private limited,"spark,hive,sqoop,kafka",full time,"chennai,pune",8
4,data engineer,data engineer,synechron technologies private limited,"spark,hive,sqoop,kafka",full time,"bengaluru,mumbai",8
5,data engineer,data engineer (spark/streaming),synechron technologies private limited,"big data,spark,streaming",full time,mumbai,7
6,data analyst,data analyst/etl implementation,quess it staffing (formerly known as magna infotech),etl implementation informatica,full time,chennai,10
7,data analyst,sr. data analyst,crowdstrike,"snowflake,machine learning,tableau,sql",full time,pune,9
8,data analyst,data analyst | business analyst | fresher it job - fresher can apply salary 45k,structured learning assistance consultants india private limited,"reporting analyst,mis executive",full time,delhi,2
9,data analyst,data analyst internship at pune,maxgen technologies private limited,"internship,live projects,academic projects",full time,"aurangabad,pune",0
10,data analyst,data analyst,coforge,"jenkins pipeline,fpml,sdlc processes,cmd",full time,hyderabad,9
11,data architect,data architect,synechron technologies private limited,"data solutions,big data,hadoop",full time,mumbai,17
12,data architect,data architect,synechron technologies private limited,"data solutions,big data,hadoop",full time,"bengaluru,pune",17
13,data architect,data architect,synechron technologies private limited,"data solutions,big data,hadoop",full time,"chennai,hyderabad",17
14,data architect,hiring for sr. data architect,synechron technologies private limited,"aws cloud,machine learning,data governance",full time,pune,16
15,data architect,partner solutions architect - big data,databricks,"scikit-learn,hpo,java,pandas,hadoop",full time,bengaluru,11
16,data scientist,data scientist,synechron technologies private limited,"kanban,agile,data science",full time,"bengaluru,mumbai",12
17,data scientist,data scientist,synechron technologies private limited,"kanban,agile,data science",full time,"chennai,pune",12
18,data scientist,data scientist,synechron technologies private limited,"kanban,agile,data science",full time,gurugram,12
19,data scientist,data scientist engineer,fis,"api integrations,powerbi reports,azure sql mi",full time,chennai,8
20,data scientist,ai/ml data scientist,michael page,"ai,six sigma,ml,data science,change management",full time,pune,7
21,machine learning engineer,machine learning ops engineer,ltimindtree limited,"machine learning ops,machine learning,mlops",full time,"chennai,bengaluru",7
22,machine learning engineer,machine learning engineer required in abroad,donivia overseas private limited,machine learning,full time,"bengaluru,hyderabad",7
23,machine learning engineer,machine learning engineer,atlassian,"sci-kit-learn,openai llms,keras/tensorflow/pytorch",full time,bengaluru,1
24,machine learning engineer,ml developer- wfh,uplers,"chatgpt,llm prompt engineering,snowflake",full time,chennai,5
25,machine learning engineer,principal machine learning engineer,atlassian,"openai llms,restful microservices,python",full time,bengaluru,1
